fecha,producto,producto_representativo,carrefour,coope,coto,dia,disco,vea,marca
2025-07-15,Alfajor Maicena Felices Las Vacas 60g,Alfajor Felices Las Vacas de maicena 60 g.,1059.0,,,,,,Felices las Vacas
2025-07-15,Alfajor Maní Felices Las Vacas 60g,Alfajor Felices Las Vacas de maní 60 g.,1539.0,,,,,,Felices las Vacas
2025-07-15,Alfajor Membrillo Felices Las Vacas 60g,Alfajor de membrillo Felices las Vacas 60 grs,1538.29,,,,,,Felices las Vacas
2025-07-15,Bombón Felices Las Vacas Relleno 48g,Bombón Felices Las Vacas relleno 48 g.,1249.0,,,,,,Felices las Vacas
2025-07-15,Cremoso Vegano Felices Las Vacas 500g,Cremoso vegano Felices Las Vacas 500 g.,6589.0,5690.0,6589.0,,,,Felices las Vacas
2025-07-15,Dulce de Almendras Colonial Felices Las Vacas 250g,Dulce de almendras colonial Felices las vacas 250 g.,2250.0,2150.0,,,,,Felices las Vacas
2025-07-15,Fetas Veganas Sabor Danbo Felices Las Vacas 200g,Fetas veganas Felices Las Vacas sabor danbo 200 g.,2519.0,,2519.0,,,,Felices las Vacas
2025-07-15,Hummus Garbanzo Felices Las Vacas 220-230g,Hummus vegano Felices Las Vacas 230 g.,3360.0,,,,,,Felices las Vacas
2025-07-15,Hummus Garbanzo Felices Las Vacas con Palta 220g,Hummus de garbanzo Felices las vacas con palta 220 g.,2990.0,,,,,,Felices las Vacas
2025-07-15,Medallón Arveja Chickenvil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas chickenvil party 2 uni,2779.0,,,,,,Felices las Vacas
2025-07-15,Medallón Arveja Chickenvil Party Felices Las Vacas 4uni,Medallón de arveja Felices las Vacas chickenvil party 4 uni,6289.0,,,,,,Felices las Vacas
2025-07-15,Medallón Arveja Karnevil Party Felices Las Vacas 2uni,Medallón de arveja Felices las Vacas karnevil party 2 uni,2289.0,,,,,,Felices las Vacas
2025-07-15,Medallón Arveja Karnevil Party Felices Las Vacas 4uni,Medallón de arveja Felices las Vacas karnevil party 4 uni,5009.0,,,,,,Felices las Vacas
2025-07-15,Medallón Soja Big Classic Felices Las Vacas 2uni,Medallón de soja Felices las Vacas big classic 2 uni,2839.0,,,,,,Felices las Vacas
2025-07-15,Milanesa Arveja Sabor Carne Felices Las Vacas 2uni,Milanesa a base de arveja Felices las Vacas sabor carne 2 uni,3475.0,,,,,,Felices las Vacas
2025-07-15,Muzzalmendra Vegana Felices Las Vacas 500g,Muzzalmendra 500 Gr Felices Las Vacas,6089.0,6400.0,6089.0,,6250.0,,Felices las Vacas
2025-07-15,Pasta Vegana Sabor Provolone Felices Las Vacas 250g,Pasta vegana Felices Las Vacas sabor provolone 250 g.,4685.0,3990.0,4685.0,,,,Felices las Vacas
2025-07-15,Postre Plant Based Chocolate Felices Las Vacas 125g,Postre plant ba de chocolate Felices las Vacas 125 g.,1499.0,1450.0,,,,,Felices las Vacas
2025-07-15,Postre Plant Based Dulce de Leche Felices Las Vacas 125g,Postre plant bas de dulce de leche Felices las Vacas 125 g.,1450.0,1350.0,,,,,Felices las Vacas
2025-07-15,Queso Almendra Oliva Muzzoliva Felices Las Vacas 500g,Queso Vegano Muzzoliva Felices Las Vacas 500g,8390.0,,7625.0,,,,Felices las Vacas
